UserID,1,2,3,4,5,6,7,8,9,10,11,12,90,91,92,93,94,95,96,97,98,99,100,101,102,103
1,37,Female,United States,Illinois,-1,No,1,6-25,1,Yes,Yes,No,No,Yes,Often,No,Not sure,No,Yes,Somewhat easy,No,Some of them,Yes,Maybe,No,-1
2,44,Male,United States,Indiana,-1,No,0,More than 1000,0,Don't know,Don't know,No,No,Don't know,Rarely,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,-1
3,32,Male,Canada,-1,-1,No,0,6-25,1,No,Don't know,Yes,No,No,Rarely,No,No,No,No,Somewhat difficult,No,Yes,Yes,Yes,No,-1
4,31,Male,United Kingdom,-1,-1,Yes,1,26-100,1,No,No,Maybe,Yes,No,Often,No,Yes,No,No,Somewhat difficult,Yes,Some of them,No,Maybe,Yes,-1
5,31,Male,United States,Texas,-1,No,0,100-500,1,Yes,Don't know,Yes,No,Don't know,Never,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,Yes,No,-1
6,33,Male,United States,Tennessee,-1,Yes,0,6-25,1,Yes,Don't know,No,No,Don't know,Sometimes,No,Not sure,No,Don't know,Don't know,No,Yes,Yes,Maybe,No,-1
7,35,Female,United States,Michigan,-1,Yes,1,1-5,1,No,No,No,Maybe,Don't know,Sometimes,Yes,No,No,No,Somewhat difficult,Maybe,Some of them,No,No,No,-1
8,39,Male,Canada,-1,-1,No,0,1-5,1,No,Yes,No,No,No,Never,Yes,Yes,No,No,Don't know,No,No,No,No,No,-1
9,42,Female,United States,Illinois,-1,Yes,1,100-500,1,Yes,No,No,No,No,Sometimes,No,Yes,No,No,Very difficult,Maybe,Yes,Yes,Maybe,No,-1
10,23,Male,Canada,-1,-1,No,0,26-100,1,Don't know,Don't know,Maybe,No,Yes,Never,No,No,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,No,-1
11,31,Male,United States,Ohio,-1,No,1,6-25,1,Don't know,Don't know,No,No,Don't know,Sometimes,Yes,No,No,No,Don't know,No,Some of them,Yes,No,No,-1
12,29,Male,Bulgaria,-1,-1,No,0,100-500,1,Don't know,Don't know,Yes,No,Don't know,Never,Yes,Not sure,No,No,Don't know,No,Yes,Yes,Yes,No,-1
13,42,Female,United States,California,-1,Yes,1,26-100,0,Yes,Don't know,Maybe,Yes,No,Sometimes,No,Yes,No,No,Somewhat difficult,Yes,Yes,Yes,Maybe,Yes,-1
14,36,Male,United States,Connecticut,-1,Yes,0,500-1000,1,Don't know,Don't know,No,No,Don't know,Never,No,Not sure,No,Don't know,Don't know,No,Yes,Yes,No,No,"I'm not on my company's health insurance, which could be part of the reason I answered ""Don't know"" to so many questions."
15,27,Male,Canada,-1,-1,No,0,6-25,1,Don't know,Don't know,Maybe,No,Yes,Never,No,Not sure,Don't know,Don't know,Somewhat easy,No,Some of them,Some of them,Yes,No,-1
16,29,Female,United States,Illinois,-1,Yes,1,26-100,1,Yes,Don't know,Maybe,No,Don't know,Rarely,No,Not sure,No,No,Somewhat easy,No,Yes,Some of them,Maybe,No,"I have chronic, low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. "
17,23,Male,United Kingdom,-1,-1,No,1,26-100,1,Don't know,Don't know,Maybe,No,No,Sometimes,Yes,No,Don't know,Don't know,Very easy,Maybe,Some of them,No,Maybe,No,"My company does provide healthcare, but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work."
18,32,Male,United States,Tennessee,-1,No,1,6-25,1,Yes,Don't know,No,No,No,Sometimes,No,Yes,No,Don't know,Don't know,Maybe,Some of them,Yes,No,No,-1
19,46,Male,United States,Maryland,1,Yes,0,1-5,1,Yes,Yes,No,No,Yes,Sometimes,Yes,Not sure,Yes,Don't know,Very easy,No,Yes,Yes,Yes,Yes,-1
20,36,Male,France,-1,1,Yes,0,6-25,1,No,Yes,Maybe,No,Don't know,-1,Yes,No,Yes,No,Somewhat easy,No,Some of them,Some of them,Maybe,No,-1
21,29,Male,United States,New York,0,Yes,1,100-500,1,Yes,No,No,No,No,Sometimes,No,Yes,No,No,Somewhat difficult,Maybe,Some of them,Some of them,No,No,-1
22,31,Male,United States,North Carolina,1,No,0,1-5,1,No,Yes,No,No,Yes,Never,Yes,No,No,No,Somewhat difficult,No,Some of them,Some of them,Maybe,No,-1
23,46,Male,United States,Massachusetts,0,No,1,26-100,1,Yes,Don't know,No,No,No,Often,Yes,Yes,No,No,Don't know,Maybe,Some of them,Yes,Maybe,No,-1
24,41,Male,United States,Iowa,0,No,1,More than 1000,0,Don't know,Don't know,No,No,Don't know,Never,No,No,No,Don't know,Don't know,Maybe,No,No,Yes,No,-1
25,33,Male,United States,California,0,Yes,1,26-100,1,Yes,Yes,No,No,Don't know,Rarely,No,Not sure,Don't know,Yes,Don't know,No,Yes,Yes,Yes,No,Relatively new job. Ask again later
26,35,Male,United States,Tennessee,0,Yes,1,More than 1000,0,Yes,No,No,No,No,Sometimes,No,Yes,No,Don't know,Very easy,Yes,Some of them,Yes,Yes,No,"Sometimes I think  about using drugs for my mental health issues. If i use drugs, I feel better"
27,33,Male,United States,Tennessee,0,No,0,1-5,1,Don't know,Don't know,No,Maybe,Don't know,-1,No,Not sure,No,Don't know,Don't know,Maybe,Some of them,No,No,No,-1
28,35,Female,United States,California,0,Yes,1,6-25,1,Yes,Don't know,Maybe,No,Yes,Rarely,Yes,Yes,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,No,-1
29,34,Male,United States,Ohio,0,No,1,26-100,1,Don't know,Don't know,No,No,No,Sometimes,Yes,Not sure,No,Don't know,Somewhat difficult,No,Some of them,No,No,No,-1
30,37,Male,United Kingdom,-1,0,No,0,6-25,1,No,Don't know,No,Maybe,No,Sometimes,No,No,No,No,Very difficult,Yes,Some of them,No,Maybe,No,-1
31,32,Male,United Kingdom,-1,0,No,0,6-25,1,No,Don't know,No,Yes,No,Never,Yes,No,No,No,Don't know,Yes,Some of them,Some of them,Maybe,No,-1
32,31,Male,United States,Pennsylvania,1,Yes,0,1-5,1,No,Don't know,No,No,No,Rarely,Yes,Yes,No,No,Somewhat difficult,Yes,No,No,No,Yes,-1
33,30,Male,United Kingdom,-1,0,Yes,1,500-1000,1,Don't know,Yes,No,No,Don't know,Sometimes,Yes,No,No,No,Somewhat easy,Maybe,Some of them,Yes,Yes,No,-1
34,42,Male,United States,Washington,0,Yes,1,26-100,1,Yes,Yes,Maybe,No,Don't know,Sometimes,Yes,Yes,Yes,Yes,Very easy,Maybe,Some of them,Some of them,Yes,No,"I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers, who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns."
35,40,Female,United States,Wisconsin,0,No,1,1-5,1,Yes,Don't know,No,No,Yes,Sometimes,No,Yes,No,No,Don't know,Maybe,Some of them,No,Maybe,No,-1
36,27,Male,United States,New York,0,No,1,6-25,1,No,Don't know,Maybe,No,Don't know,Rarely,No,Yes,No,No,Very easy,No,Yes,Yes,Maybe,No,-1
37,29,Male,Canada,-1,0,No,0,1-5,1,No,Don't know,No,Maybe,Don't know,Rarely,No,No,No,No,Very easy,Yes,Some of them,No,No,No,-1
38,38,Male,Portugal,-1,0,No,0,100-500,1,No,Don't know,No,No,No,-1,No,Yes,No,No,Somewhat easy,Maybe,Some of them,Some of them,Maybe,No,-1
39,50,Male,United States,Indiana,0,No,0,100-500,1,Yes,Don't know,No,No,Don't know,-1,No,Yes,No,Don't know,Don't know,No,Some of them,Yes,Maybe,No,-1
40,35,Male,United States,Texas,0,No,1,More than 1000,1,Yes,Yes,Maybe,No,Yes,Rarely,Yes,Yes,No,Yes,Very easy,No,Yes,Yes,Maybe,No,-1
41,24,Male,United Kingdom,-1,0,No,1,6-25,1,No,Don't know,No,Maybe,No,Sometimes,No,No,No,No,Don't know,Maybe,Some of them,No,Yes,Yes,-1
42,35,Male,United States,Michigan,0,No,0,More than 1000,1,Yes,Don't know,No,Yes,Don't know,-1,Yes,Not sure,Don't know,Yes,Somewhat difficult,Yes,Some of them,No,Maybe,No,-1
43,27,Male,Canada,-1,0,Yes,1,1-5,1,No,Yes,No,No,Yes,Sometimes,No,Yes,No,No,Very difficult,Maybe,Some of them,No,No,No,-1
44,18,Male,Netherlands,-1,0,No,0,6-25,1,No,Don't know,No,Maybe,No,Often,No,Not sure,No,No,Somewhat difficult,Yes,No,Some of them,No,No,-1
45,30,Male,United States,Indiana,0,No,1,26-100,1,Don't know,Don't know,No,No,Don't know,Sometimes,No,No,No,No,Don't know,No,No,No,Maybe,No,-1
46,38,Female,United States,Texas,0,Yes,1,26-100,1,Yes,Yes,No,No,Yes,Sometimes,No,Yes,No,Yes,Somewhat easy,No,Some of them,Yes,No,No,"Our health plan has covered my psychotherapy and my antidepressant medication. My manager has been aware but discreet throughout. I did get negative reviews when my depression was trashing my delivery, but, y'know, I wasn't delivering."
47,28,Male,United Kingdom,-1,0,No,0,26-100,1,Don't know,Don't know,Maybe,Maybe,Don't know,-1,No,Not sure,No,No,Don't know,No,Some of them,Yes,Yes,No,-1
48,34,Male,United States,Tennessee,0,No,0,6-25,1,No,Don't know,Maybe,No,Don't know,-1,No,No,No,No,Don't know,No,Yes,Yes,Yes,No,-1
49,26,Male,Canada,-1,1,No,0,1-5,1,No,Don't know,No,No,Yes,Sometimes,No,Yes,Yes,No,Don't know,No,Yes,Yes,No,No,-1
50,30,Male,United States,Illinois,0,Yes,1,26-100,1,Yes,Don't know,No,No,Don't know,Rarely,No,No,No,Don't know,Don't know,Maybe,Some of them,Yes,No,No,"I just started a new job last week, hence, a lot of ""don't know's"""
51,22,Male,United States,Texas,0,Yes,1,6-25,1,No,Yes,No,No,Don't know,Often,No,Yes,No,No,Very difficult,Maybe,No,No,Maybe,No,-1
52,33,Male,United States,Utah,0,No,0,100-500,1,Don't know,Don't know,Maybe,No,Don't know,-1,Yes,Not sure,Don't know,Don't know,Don't know,No,Some of them,Yes,Maybe,No,-1
53,31,Male,United States,-1,0,No,0,100-500,1,Don't know,Don't know,Maybe,Maybe,Don't know,-1,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Maybe,No,-1
54,32,Male,United States,Tennessee,0,No,0,1-5,1,Don't know,Don't know,No,No,Don't know,Never,Yes,Not sure,No,No,Don't know,Maybe,Some of them,Yes,No,No,-1
55,28,Male,Switzerland,-1,0,No,0,100-500,1,No,Don't know,No,No,Don't know,-1,No,No,No,No,Don't know,No,No,No,Maybe,No,-1
56,27,Male-ish,United States,New York,0,Yes,1,26-100,1,Yes,Yes,No,No,Don't know,Rarely,No,Yes,No,No,Don't know,Maybe,No,No,No,No,-1
57,32,Male,United States,Tennessee,0,Yes,0,6-25,1,Don't know,Don't know,No,No,Yes,-1,Yes,No,No,No,Somewhat easy,No,Yes,Yes,No,No,-1
58,24,Male,United States,New York,0,Yes,1,26-100,1,Don't know,Don't know,Yes,Maybe,No,Sometimes,Yes,No,No,No,Don't know,No,Some of them,Yes,Yes,No,-1
59,26,Male,United States,Tennessee,0,No,0,26-100,0,No,Yes,Maybe,No,Don't know,-1,No,No,No,No,Somewhat easy,No,Some of them,Yes,Yes,No,-1
60,33,Male,Canada,-1,0,Yes,1,6-25,1,Don't know,No,No,No,Don't know,Often,Yes,No,No,No,Somewhat difficult,Yes,No,No,Maybe,No,In addition to my own mental health issues I've known several coworkers that may be suffering and I don't know how to tell them I empathize and that I want to help.
